Date,HB,DailyPositive,CumulativePositive,CrudeRatePositive,CumulativePositivePercent,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200315,S08000031,1,49,4.14159172357834,0.0317357512953368,0,2,0.169044560146055,1495,126.360808709176
20200315,S08000032,0,21,3.17268469557335,0.0356536502546689,0,0,0,568,85.8135670040792
20200316,S08000015,2,11,2.97812432315356,0.0294906166219839,0,0,0,362,98.0073640892354
20200316,S08000016,0,5,4.32862955588261,0.0340136054421769,0,0,0,142,122.933079387066
20200316,S08000017,2,3,2.01531640467553,0.0125,0,0,0,237,159.209995969367
20200316,S08000019,1,18,5.87007565875293,0.0430622009569378,0,0,0,400,130.446125750065
20200316,S08000020,0,17,2.90250981731262,0.0543130990415335,0,0,0,296,50.5378179955609
20200316,S08000022,0,6,1.86509170034193,0.0251046025104603,0,0,0,233,72.4277276966118
20200316,S08000024,1,33,3.63604310363825,0.0254433307632999,1,2,0.220366248705348,1264,139.27146918178
20200316,S08000025,0,0,0,0,0,0,0,12,53.8841490794791
20200316,S08000026,0,24,104.712041884817,0.307692307692308,0,0,0,54,235.602094240838
20200316,S08000028,0,0,0,0,0,0,0,21,78.5928143712575
20200316,S08000029,0,11,2.94471958238522,0.0434782608695652,0,0,0,242,64.7838308124749
20200316,S08000030,2,20,4.79076340814909,0.0508905852417303,0,0,0,373,89.3477375619805
20200316,S08000031,8,57,4.81776996416255,0.0332943925233645,0,2,0.169044560146055,1655,139.88437352086
20200316,S08000032,5,26,3.928085813567,0.0398773006134969,0,0,0,626,94.5762199728056
20200317,S08000015,5,16,4.33181719731427,0.036697247706422,1,1,0.270738574832142,420,113.7102014295
20200317,S08000016,0,5,4.32862955588261,0.0304878048780488,0,0,0,159,137.650419877067
20200317,S08000017,3,6,4.03063280935107,0.0211267605633803,0,0,0,278,186.752653499933
20200317,S08000019,3,21,6.84842160187842,0.0451612903225806,0,0,0,444,144.795199582572
20200317,S08000020,2,19,3.24398156052587,0.0555555555555556,0,0,0,323,55.1476865289397
20200317,S08000022,1,7,2.17594031706559,0.0268199233716475,0,0,0,254,78.9555486478085
20200317,S08000024,5,38,4.18695872540162,0.0270078180525942,0,2,0.220366248705348,1369,150.840697238811
20200317,S08000025,0,0,0,0,0,0,0,12,53.8841490794791
20200317,S08000026,0,24,104.712041884817,0.263736263736264,0,0,0,67,292.321116928447
20200317,S08000028,0,0,0,0,0,0,0,23,86.0778443113772
20200317,S08000029,1,12,3.21242136260206,0.0431654676258993,0,0,0,266,71.208673537679
20200317,S08000030,3,23,5.50937791937145,0.0532407407407407,0,0,0,409,97.9711116966489
20200317,S08000031,13,70,5.91655960511191,0.0369588173178458,0,2,0.169044560146055,1824,154.168638853202
20200317,S08000032,7,33,4.98564737875812,0.0452674897119342,1,1,0.151080223598731,696,105.151835624717
20200318,S08000015,4,20,5.41477149664284,0.040160642570281103,0,1,0.270738574832142,478,129.413038769764
20200318,S08000016,2,7,6.06008137823565,0.0382513661202186,0,0,0,176,152.367760367068
20200318,S08000017,3,9,6.0459492140266,0.0252100840336134,0,0,0,348,233.776702942362
20200318,S08000019,6,27,8.8051134881294,0.0529411764705882,0,0,0,483,157.513696843204
20200318,S08000020,1,20,3.41471743213249,0.0539083557951483,0,0,0,351,59.9282909339252
20200318,S08000022,1,8,2.48678893378924,0.0280701754385965,0,0,0,277,86.1050668324526
20200318,S08000024,4,42,4.62769122281231,0.0283209710047202,0,2,0.220366248705348,1441,158.773882192203
20200318,S08000025,0,0,0,0,0,0,0,13,58.3744948361024
20200318,S08000026,0,24,104.712041884817,0.220183486238532,0,0,0,85,370.855148342059
20200318,S08000028,0,0,0,0,0,0,0,25,93.562874251497007
20200318,S08000029,2,14,3.74782492303574,0.0459016393442623,0,0,0,291,77.9012180431
20200318,S08000030,4,27,6.46753060100127,0.0578158458244111,0,0,0,440,105.39679497928
20200318,S08000031,7,77,6.5082155656231,0.0375793069790142,0,2,0.169044560146055,1972,166.67793630401
20200318,S08000032,7,40,6.04320894394924,0.049813200498132,0,1,0.151080223598731,763,115.274210605832
20200319,S08000015,3,23,6.22698722113927,0.0409252669039146,0,1,0.270738574832142,539,145.928091834525
20200319,S08000016,1,8,6.92580728941217,0.0402010050251256,0,0,0,191,165.353649034716
20200319,S08000017,4,13,8.73303775359398,0.0306603773584906,0,0,0,411,276.098347440548
20200319,S08000019,3,30,9.78345943125489,0.0536672629695885,1,1,0.326115314375163,529,172.515001304461
20200319,S08000020,0,20,3.41471743213249,0.0508905852417303,1,1,0.170735871606625,373,63.684480109271
20200319,S08000022,1,9,2.7976375505129,0.0283018867924528,0,0,0,309,96.0522225676096
20200319,S08000024,5,47,5.17860684457569,0.0296717171717172,0,2,0.220366248705348,1537,169.35146213006
20200319,S08000025,0,0,0,0,0,0,0,13,58.3744948361024
20200319,S08000026,0,24,104.712041884817,0.2,0,0,0,96,418.848167539267
20200319,S08000028,0,0,0,0,0,0,0,28,104.790419161677
20200319,S08000029,1,15,4.01552670325258,0.043859649122807,0,0,0,327,87.5384821309062
20200319,S08000030,4,31,7.42568328263109,0.0561594202898551,0,0,0,521,124.799386782284
20200319,S08000031,23,100,8.45222800730272,0.0449236298292902,1,3,0.253566840219082,2126,179.694367435256
20200319,S08000032,5,45,6.79861006194289,0.052143684820394,0,1,0.151080223598731,818,123.583622903762
20200320,S08000015,4,27,7.30994152046784,0.0439024390243902,0,1,0.270738574832142,588,159.1942820013
20200320,S08000016,2,10,8.65725911176522,0.0465116279069767,0,0,0,205,177.473811791187
20200320,S08000017,4,17,11.4201262931614,0.0342741935483871,0,0,0,479,321.778852613194
20200320,S08000019,7,37,12.066266631881,0.0590111642743222,2,3,0.978345943125489,590,192.408035481346
20200320,S08000020,3,23,3.92692504695236,0.0539906103286385,0,1,0.170735871606625,403,68.8065562574697
20200320,S08000022,1,10,3.10848616723656,0.0285714285714286,0,0,0,340,105.688529686043
