Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,CumulativePositivePercent,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200306,S12000045,East Dunbartonshire,0,0,0,0,0,0,0,40,36.8188512518409
20200306,S12000047,Fife,0,2,0.535403560433677,0.0173913043478261,0,0,0,113,30.2503011645027
20200306,S12000048,Perth & Kinross,0,0,0,0,0,0,0,57,37.5123395853899
20200306,S12000049,Glasgow City,0,0,0,0,0,0,0,297,46.9105382865807
20200306,S12000050,North Lanarkshire,0,1,0.292937282127896,0.010752688172043,0,0,0,92,26.9502299557665
20200307,S12000005,Clackmannanshire,0,2,3.88048117966628,0.0571428571428571,0,0,0,33,64.0279394644936
20200307,S12000006,Dumfries & Galloway,0,0,0,0,0,0,0,94,63.1465806798334
20200307,S12000008,East Ayrshire,1,1,0.819604950413901,0.027027027027027,0,0,0,36,29.5057782149004
20200307,S12000010,East Lothian,0,0,0,0,0,0,0,42,39.2193482117845
20200307,S12000011,East Renfrewshire,0,1,1.04679158379567,0.0238095238095238,0,0,0,41,42.9184549356223
20200307,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,0,4,14.9700598802395
20200307,S12000014,Falkirk,0,1,0.62154266890422,0.0116279069767442,0,0,0,85,52.8311268568587
20200307,S12000017,Highland,0,0,0,0,0,0,0,61,25.8660899800704
20200307,S12000018,Inverclyde,0,0,0,0,0,0,0,25,32.133676092545
20200307,S12000019,Midlothian,0,1,1.08154877784988,0.0232558139534884,0,0,0,42,45.425048669695
20200307,S12000020,Moray,0,2,2.08724692131079,0.0909090909090909,0,0,0,20,20.8724692131079
20200307,S12000021,North Ayrshire,0,1,0.742170105388155,0.0196078431372549,0,0,0,50,37.1085052694077
20200307,S12000023,Orkney Islands,0,0,0,0,0,0,0,9,40.4131118096093
20200307,S12000026,Scottish Borders,0,0,0,0,0,0,0,46,39.82339191412
20200307,S12000027,Shetland Islands,0,2,8.7260034904014,0.333333333333333,0,0,0,4,17.4520069808028
20200307,S12000028,South Ayrshire,0,0,0,0,0,0,0,21,18.6484326436373
20200307,S12000029,South Lanarkshire,0,1,0.311983277696316,0.00833333333333333,0,0,0,119,37.1260100458615
20200307,S12000030,Stirling,0,0,0,0,0,0,0,50,53.0729221950961
20200307,S12000033,Aberdeen City,0,1,0.437311409454673,0.0161290322580645,0,0,0,61,26.675995976735
20200307,S12000034,Aberdeenshire,2,3,1.14850120592627,0.0428571428571429,0,0,0,67,25.6498602656866
20200307,S12000035,Argyll & Bute,0,0,0,0,0,0,0,20,23.2910213112845
20200307,S12000036,City of Edinburgh,2,5,0.952507953441411,0.0183823529411765,0,0,0,267,50.8639247137714
20200307,S12000038,Renfrewshire,0,0,0,0,0,0,0,72,40.2010050251256
20200307,S12000039,West Dunbartonshire,0,1,1.12447992803328,0.0208333333333333,0,0,0,47,52.8505566175644
20200307,S12000040,West Lothian,0,0,0,0,0,0,0,64,34.9535772801748
20200307,S12000041,Angus,0,1,0.860585197934596,0.02,0,0,0,49,42.1686746987952
20200307,S12000042,Dundee City,0,0,0,0,0,0,0,41,27.4578087329226
20200307,S12000045,East Dunbartonshire,0,0,0,0,0,0,0,43,39.580265095729
20200307,S12000047,Fife,0,2,0.535403560433677,0.0168067226890756,0,0,0,117,31.3211082853701
20200307,S12000048,Perth & Kinross,0,0,0,0,0,0,0,57,37.5123395853899
20200307,S12000049,Glasgow City,0,0,0,0,0,0,0,315,49.7536012130402
20200307,S12000050,North Lanarkshire,1,2,0.585874564255793,0.0192307692307692,0,0,0,102,29.8796027770454
20200308,S12000005,Clackmannanshire,0,2,3.88048117966628,0.0512820512820513,0,0,0,37,71.7889018238262
20200308,S12000006,Dumfries & Galloway,0,0,0,0,0,0,0,100,67.1772134891845
20200308,S12000008,East Ayrshire,0,1,0.819604950413901,0.027027027027027,0,0,0,36,29.5057782149004
20200308,S12000010,East Lothian,0,0,0,0,0,0,0,42,39.2193482117845
20200308,S12000011,East Renfrewshire,0,1,1.04679158379567,0.0217391304347826,0,0,0,45,47.105621270805
20200308,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,0,5,18.7125748502994
20200308,S12000014,Falkirk,0,1,0.62154266890422,0.010752688172043,0,0,0,92,57.1819255391883
20200308,S12000017,Highland,0,0,0,0,0,0,0,65,27.5622270279439
