date,areaname,count
2020-04-19,Tayside,1056
2020-04-19,Lothian,1344
2020-04-19,Lanarkshire,1022
2020-04-19,Orkney,5
2020-04-20,Ayrshire and Arran,604
2020-04-20,Forth Valley,542
2020-04-20,Grampian,490
2020-04-20,Fife,542
2020-04-20,Tayside,1071
2020-04-20,Lothian,1399
2020-04-20,Shetland,51
2020-04-20,Dumfries and Galloway,231
2020-04-20,Lanarkshire,1051
2020-04-20,Greater Glasgow and Clyde,2020
2020-04-20,Western Isles,6
2020-04-20,Orkney,6
2020-04-20,Highland,198
2020-04-20,Borders,239
2020-04-21,Dumfries and Galloway,231
2020-04-21,Lanarkshire,1076
2020-04-21,Forth Valley,562
2020-04-21,Orkney,6
2020-04-21,Fife,561
2020-04-21,Borders,240
2020-04-21,Highland,201
2020-04-21,Western Isles,6
2020-04-21,Shetland,52
2020-04-21,Tayside,1084
2020-04-21,Ayrshire and Arran,623
2020-04-21,Greater Glasgow and Clyde,2085
2020-04-21,Grampian,519
2020-04-21,Lothian,1426
2020-04-22,Orkney,6
2020-04-22,Greater Glasgow and Clyde,2174
2020-04-22,Borders,243
2020-04-22,Lanarkshire,1118
2020-04-22,Fife,593
2020-04-22,Highland,211
2020-04-22,Shetland,54
2020-04-22,Western Isles,6
2020-04-22,Dumfries and Galloway,235
2020-04-22,Forth Valley,569
2020-04-22,Grampian,550
2020-04-22,Tayside,1124
2020-04-22,Ayrshire and Arran,640
2020-04-22,Lothian,1515
2020-04-23,Fife,619
2020-04-23,Ayrshire and Arran,653
2020-04-23,Borders,248
2020-04-23,Tayside,1159
2020-04-23,Orkney,6
2020-04-23,Greater Glasgow and Clyde,2250
2020-04-23,Lanarkshire,1155
2020-04-23,Lothian,1604
2020-04-23,Western Isles,6
2020-04-23,Grampian,602
2020-04-23,Forth Valley,604
2020-04-23,Dumfries and Galloway,235
2020-04-23,Shetland,54
2020-04-23,Highland,214
2020-04-24,Borders,253
2020-04-24,Shetland,54
2020-04-24,Lothian,1684
2020-04-24,Tayside,1199
2020-04-24,Greater Glasgow and Clyde,2311
2020-04-24,Highland,214
2020-04-24,Forth Valley,606
2020-04-24,Lanarkshire,1176
2020-04-24,Orkney,6
2020-04-24,Fife,637
2020-04-24,Western Isles,6
2020-04-24,Ayrshire and Arran,678
2020-04-24,Dumfries and Galloway,235
2020-04-24,Grampian,638
2020-04-25,Dumfries and Galloway,237
2020-04-25,Lanarkshire,1187
2020-04-25,Grampian,700
2020-04-25,Greater Glasgow and Clyde,2428
2020-04-25,Lothian,1730
2020-04-25,Ayrshire and Arran,692
2020-04-25,Borders,258
2020-04-25,Fife,653
2020-04-25,Western Isles,6
2020-04-25,Highland,220
2020-04-25,Orkney,7
2020-04-25,Tayside,1224
2020-04-25,Forth Valley,655
2020-04-25,Shetland,54
2020-04-26,Forth Valley,662
2020-04-26,Western Isles,6
2020-04-26,Grampian,748
2020-04-26,Tayside,1251
2020-04-26,Lothian,1785
2020-04-26,Shetland,54
2020-04-26,Borders,259
2020-04-26,Fife,672
2020-04-26,Ayrshire and Arran,705
2020-04-26,Greater Glasgow and Clyde,2479
2020-04-26,Dumfries and Galloway,240
2020-04-26,Lanarkshire,1231
2020-04-26,Highland,225
2020-04-26,Orkney,7
2020-04-27,Grampian,771
2020-04-27,Fife,681
2020-04-27,Orkney,7
2020-04-27,Borders,269
2020-04-27,Greater Glasgow and Clyde,2531
