Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200309,S12000011,East Renfrewshire,1,2,2.09358316759133,0,0,0,53,55.4799539411703
20200309,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,5,18.7125748502994
20200309,S12000014,Falkirk,0,1,0.62154266890422,0,0,0,98,60.9111815526136
20200309,S12000017,Highland,0,0,0,0,0,0,69,29.2583640758173
20200309,S12000018,Inverclyde,0,0,0,0,0,0,29,37.2750642673522
20200309,S12000019,Midlothian,0,1,1.08154877784988,0,0,0,52,56.2405364481938
20200309,S12000020,Moray,0,2,2.08724692131079,0,0,0,21,21.9160926737633
20200309,S12000021,North Ayrshire,0,1,0.742170105388155,0,0,0,61,45.2723764286775
20200309,S12000023,Orkney Islands,0,0,0,0,0,0,8,35.9227660529861
20200309,S12000026,Scottish Borders,1,1,0.865725911176522,0,0,0,63,54.5407324041209
20200309,S12000027,Shetland Islands,4,6,26.1780104712042,0,0,0,9,39.2670157068063
20200309,S12000028,South Ayrshire,1,1,0.888020602077968,0,0,0,32,28.416659266495
